scraped_at,tournament_name,source_url,surface,round,winner_name,loser_name,score_text,raw_completed_line
2026-07-03T14:29:52Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Andrey Rublev,Mariano Navone,6-4 7-5,R32: (5) Andrey Rublev (RUS) d. Mariano Navone (ARG) 6-4 7-5
2026-07-03T14:29:52Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Alex De Minaur,Sebastian Ofner,7-6(7) 6-4,R32: (3) Alex De Minaur (AUS) d. (Q) Sebastian Ofner (AUT) 7-6(7) 6-4
2026-07-03T14:29:52Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Hamad Medjedovic,Marco Trungelliti,7-5 6-4,R32: (Q) Hamad Medjedovic (SRB) d. (LL) Marco Trungelliti (ARG) 7-5 6-4
2026-07-03T14:29:52Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Nuno Borges,Adrian Mannarino,6-3 6-4,R32: Nuno Borges (POR) d. Adrian Mannarino (FRA) 6-3 6-4
2026-07-03T14:29:52Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Tomas Martin Etcheverry,Jack Draper,3-6 6-3 4-1 RET,R32: Tomas Martin Etcheverry (ARG) d. (8) Jack Draper (GBR) 3-6 6-3 4-1 RET
2026-07-03T14:29:52Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Cameron Norrie,Stan Wawrinka,6-4 6-7(5) 6-4,R32: (7) Cameron Norrie (GBR) d. (WC) Stan Wawrinka (SUI) 6-4 6-7(5) 6-4
2026-07-03T14:29:52Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Ethan Quinn,Reilly Opelka,7-5 7-6(7),R32: (Q) Ethan Quinn (USA) d. Reilly Opelka (USA) 7-5 7-6(7)
2026-07-03T14:29:52Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Rafael Jodar,Jaume Munar,6-1 6-2,R32: (WC) Rafael Jodar (ESP) d. Jaume Munar (ESP) 6-1 6-2
2026-07-03T14:29:52Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Camilo Ugo Carabelli,Karen Khachanov,6-3 6-4,R32: Camilo Ugo Carabelli (ARG) d. (4) Karen Khachanov (RUS) 6-3 6-4
2026-07-03T14:29:52Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Arthur Fils,Terence Atmane,4-6 6-4 7-6(7),R32: (9) Arthur Fils (FRA) d. Terence Atmane (FRA) 4-6 6-4 7-6(7)
2026-07-03T14:29:52Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Brandon Nakashima,Juan Manuel Cerundolo,6-3 7-5,R32: Brandon Nakashima (USA) d. (Q) Juan Manuel Cerundolo (ARG) 6-3 7-5
2026-07-03T14:29:52Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Corentin Moutet,Ignacio Buse,6-4 6-4,R32: Corentin Moutet (FRA) d. Ignacio Buse (PER) 6-4 6-4
2026-07-03T14:29:52Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Lorenzo Musetti,Martin Landaluce,7-5 6-2,R32: (2) Lorenzo Musetti (ITA) d. (WC) Martin Landaluce (ESP) 7-5 6-2
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,SF,Flavio Cobolli,Alexander Zverev,6-3 6-3,SF: (4) Flavio Cobolli (ITA) d. (1) Alexander Zverev (GER) 6-3 6-3
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,SF,Ben Shelton,Alex Molcan,6-3 6-4,SF: (2) Ben Shelton (USA) d. (Q) Alex Molcan (SVK) 6-3 6-4
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,QF,Alexander Zverev,Francisco Cerundolo,5-7 6-0 6-2,QF: (1) Alexander Zverev (GER) d. (5) Francisco Cerundolo (ARG) 5-7 6-0 6-2
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,QF,Flavio Cobolli,Vit Kopriva,6-3 6-2,QF: (4) Flavio Cobolli (ITA) d. Vit Kopriva (CZE) 6-3 6-2
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,QF,Alex Molcan,Denis Shapovalov,6-4 6-4,QF: (Q) Alex Molcan (SVK) d. Denis Shapovalov (CAN) 6-4 6-4
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,QF,Ben Shelton,Joao Fonseca,6-3 3-6 6-3,QF: (2) Ben Shelton (USA) d. Joao Fonseca (BRA) 6-3 3-6 6-3
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R16,Alexander Zverev,Gabriel Diallo,6-1 6-2,R16: (1) Alexander Zverev (GER) d. Gabriel Diallo (CAN) 6-1 6-2
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R16,Francisco Cerundolo,Botic Van De Zandschulp,6-3 6-0,R16: (5) Francisco Cerundolo (ARG) d. Botic Van De Zandschulp (NED) 6-3 6-0
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R16,Flavio Cobolli,Zizou Bergs,6-2 6-3,R16: (4) Flavio Cobolli (ITA) d. Zizou Bergs (BEL) 6-2 6-3
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R16,Vit Kopriva,Luciano Darderi,2-6 6-4 6-1,R16: Vit Kopriva (CZE) d. (6) Luciano Darderi (ITA) 2-6 6-4 6-1
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R16,Denis Shapovalov,Fabian Marozsan,7-6(4) 6-2,R16: Denis Shapovalov (CAN) d. Fabian Marozsan (HUN) 7-6(4) 6-2
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R16,Alex Molcan,Daniel Altmaier,6-4 7-6(10),R16: (Q) Alex Molcan (SVK) d. Daniel Altmaier (GER) 6-4 7-6(10)
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R16,Joao Fonseca,Arthur Rinderknech,6-3 6-2,R16: Joao Fonseca (BRA) d. (7) Arthur Rinderknech (FRA) 6-3 6-2
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R16,Ben Shelton,Alexander Blockx,6-4 7-6(8),R16: (2) Ben Shelton (USA) d. (WC) Alexander Blockx (BEL) 6-4 7-6(8)
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R32,Alexander Zverev,Miomir Kecmanovic,6-3 3-6 7-6(2),R32: (1) Alexander Zverev (GER) d. Miomir Kecmanovic (SRB) 6-3 3-6 7-6(2)
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R32,Gabriel Diallo,Vitaliy Sachko,6-1 6-2,R32: Gabriel Diallo (CAN) d. (Q) Vitaliy Sachko (UKR) 6-1 6-2
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R32,Botic Van De Zandschulp,Marc Andrea Huesler,7-6(7) 6-3,R32: Botic Van De Zandschulp (NED) d. (Q) Marc Andrea Huesler (SUI) 7-6(7) 6-3
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R32,Francisco Cerundolo,Sumit Nagal,6-2 6-2,R32: (5) Francisco Cerundolo (ARG) d. (LL) Sumit Nagal (IND) 6-2 6-2
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R32,Flavio Cobolli,Diego Dedura Palomero,6-4 7-5,R32: (4) Flavio Cobolli (ITA) d. (Q) Diego Dedura Palomero (GER) 6-4 7-5
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R32,Zizou Bergs,Marko Topo,6-1 6-4,R32: Zizou Bergs (BEL) d. (LL) Marko Topo (GER) 6-1 6-4
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R32,Vit Kopriva,Justin Engel,6-3 5-7 6-2,R32: Vit Kopriva (CZE) d. (WC) Justin Engel (GER) 6-3 5-7 6-2
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R32,Luciano Darderi,Zhizhen Zhang,7-6(5) 3-6 6-1,R32: (6) Luciano Darderi (ITA) d. (PR) Zhizhen Zhang (CHN) 7-6(5) 3-6 6-1
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R32,Denis Shapovalov,Tallon Griekspoor,6-4 3-6 6-2,R32: Denis Shapovalov (CAN) d. (8) Tallon Griekspoor (NED) 6-4 3-6 6-2
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R32,Fabian Marozsan,Stefanos Tsitsipas,3-6 7-6(5) 6-4,R32: Fabian Marozsan (HUN) d. Stefanos Tsitsipas (GRE) 3-6 7-6(5) 6-4
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R32,Daniel Altmaier,Marin Cilic,6-2 6-3,R32: Daniel Altmaier (GER) d. Marin Cilic (CRO) 6-2 6-3
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R32,Alex Molcan,Alexander Bublik,6-4 6-2,R32: (Q) Alex Molcan (SVK) d. (3) Alexander Bublik (KAZ) 6-4 6-2
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R32,Arthur Rinderknech,Alex Michelsen,6-3 6-3,R32: (7) Arthur Rinderknech (FRA) d. Alex Michelsen (USA) 6-3 6-3
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R32,Joao Fonseca,Alejandro Tabilo,7-6(1) 6-3,R32: Joao Fonseca (BRA) d. Alejandro Tabilo (CHI) 7-6(1) 6-3
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R32,Alexander Blockx,Yannick Hanfmann,7-6(2) 6-2,R32: (WC) Alexander Blockx (BEL) d. Yannick Hanfmann (GER) 7-6(2) 6-2
2026-07-03T14:29:52Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay,R32,Ben Shelton,Emilio Nava,7-6(4) 3-6 6-3,R32: (2) Ben Shelton (USA) d. (LL) Emilio Nava (USA) 7-6(4) 3-6 6-3
